,Date,BTC-USD,BTC-MORE,Value,cade_portfolio,carlogesualdo,petenotpetey,phan497,andyhan4,ujthechamp,julesdefwatchesftbll,emilyhan,jakesmyth,niclath95,alexludtke,lauramarkey,anahan,llatham65,mattlatham
0,9/12/2022,"22,370.45",8.4e-07,884.7811504,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1
1,9/19/2022,"19,544.13",7.3e-07,671.7707007,-1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1
2,9/26/2022,"19,222.67",8.2e-07,742.1802924,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1
3,10/3/2022,"19,623.58",7.9e-07,729.9400396,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1
4,10/10/2022,"19,141.48",1e-06,901.2750928,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1
5,10/17/2022,"19,550.76",1.17e-06,1077.038831,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,-1
6,10/24/2022,"19,345.57",1.16e-06,1056.626199,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1
7,10/31/2022,"20,495.77",5.8e-07,559.7242044,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1
8,11/7/2022,"20,602.82",5.8e-07,562.6476602,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1
9,11/14/2022,"16,618.20",7.1e-07,555.5513221,-1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1
10,11/21/2022,"15,787.28",6.5e-07,483.1728508,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1
11,11/28/2022,"16,217.32",7.2e-07,549.785698,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1
12,12/5/2022,"16,974.83",6.8e-07,543.4958116,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1
13,12/12/2022,"17,010.69",6e-07,480.5682071,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1
