,adds,consenter_ids,created,creator,draft_picks,drops,roster_ids,settings,status,status_updated,transaction_id,type,waiver_budget,leg,metadata,adds_named,drops_named,faab_spent
206,{'5347': 8},[8],1667351361214,jakesmyth,[],{'5000': 8},[8],"TransactionSettings(seq=1, waiver_bid=54)",TransactionStatus.FAILED,1667372708116,893339993534345216,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Nyheim Hines': 'jakesmyth'},{'Chase Edmonds': 'jakesmyth'},54
13,{'5284': 4},[4],1663060415027,andyhan4,[],{'2431': 4},[4],"TransactionSettings(seq=2, waiver_bid=20)",TransactionStatus.FAILED,1663139073941,875342460778393600,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'},{'Jeff Wilson': 'andyhan4'},{'Mike Davis': 'andyhan4'},20
153,{'7607': 4},[4],1666708375222,andyhan4,[],{'3161': 4},[4],"TransactionSettings(seq=1, waiver_bid=15)",TransactionStatus.FAILED,1666767889503,890643114816151552,TransactionType.WAIVER,[],7,{'notes': 'This player was claimed by another owner.'},{'Michael Carter': 'andyhan4'},{'Carson Wentz': 'andyhan4'},15
5,{'5284': 1},[1],1663114252848,carlogesualdo,[],{'8138': 1},[1],"TransactionSettings(seq=3, waiver_bid=14)",TransactionStatus.FAILED,1663139073941,875568272966397952,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'},{'Jeff Wilson': 'carlogesualdo'},{'James Cook': 'carlogesualdo'},14
151,{'7607': 14},[14],1666711093630,mattlatham,[],,[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1666767889503,890654516645732352,TransactionType.WAIVER,[],7,{'notes': 'This player was claimed by another owner.'},{'Michael Carter': 'mattlatham'},,11
207,{'5347': 14},[14],1667350722048,mattlatham,[],{'6039': 14},[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1667372708116,893337312677883904,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Nyheim Hines': 'mattlatham'},{'Ty Johnson': 'mattlatham'},11
57,{'4177': 14},[14],1664220226625,mattlatham,[],{'8228': 14},[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1664348707363,880207063203463168,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'},{'Mack Hollins': 'mattlatham'},{'Jaylen Warren': 'mattlatham'},11
11,{'5284': 3},[3],1663068280733,phan497,[],,[3],"TransactionSettings(seq=4, waiver_bid=6)",TransactionStatus.FAILED,1663139073941,875375451940569088,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'},{'Jeff Wilson': 'phan497'},,6
126,{'1837': 2},[2],1666099212697,petenotpetey,[],{'4197': 2},[2],"TransactionSettings(seq=2, waiver_bid=6)",TransactionStatus.FAILED,1666163096289,888088102000832512,TransactionType.WAIVER,[],6,{'notes': 'This player was claimed by another owner.'},{'Jimmy Garoppolo': 'petenotpetey'},{'Isaiah McKenzie': 'petenotpetey'},6
96,{'5947': 11},[11],1665503462946,lauramarkey,[],{'5970': 11},[11],"TransactionSettings(seq=5, waiver_bid=5)",TransactionStatus.FAILED,1665558292051,885589346437505024,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'Jakobi Meyers': 'lauramarkey'},{'Greg Dortch': 'lauramarkey'},5
