,player_id,player_display_name,position,season,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points_ppr,interceptions,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost,passing_yards,passing_tds,passing_2pt_conversions,receiving_2pt_conversions,gsis_id,sleeper_id,league_score
0,00-0019596,Tom Brady,QB,24264,20,-7.0,0,1.0,0,0,1,0.0,0,16.0,0.0,0.0,-4.726016435190104,188.57999999999998,3.0,2,1,1.0,1.0,0.0,0.0,3332.0,16,1,0,00-0019596,167,188.57999701052904
1,00-0023459,Aaron Rodgers,QB,26286,20,67.0,0,5.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,187.26,9.0,4,2,2.0,2.0,0.0,0.0,2864.0,22,2,0,00-0023459,96,190.25999753922224
2,00-0024243,Marcedes Lewis,TE,8088,0,0.0,0,0.0,0,3,4,20.0,1,21.0,5.0,2.0,1.1725024209008552,13.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0024243,111,11.500000029802322
3,00-0026143,Matt Ryan,QB,22242,24,70.0,1,9.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,144.0,13.0,11,3,3.0,2.0,0.0,0.0,2875.0,13,0,0,00-0026143,24,142.99999753385782
4,00-0026158,Joe Flacco,QB,6066,3,6.0,0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,44.64,3.0,4,3,0.0,0.0,0.0,0.0,901.0,5,0,0,00-0026158,19,43.63999920338392
5,00-0026189,DeSean Jackson,WR,6066,0,0.0,0,0.0,0,5,8,100.0,0,180.0,13.0,3.0,5.208808276744094,15.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0026189,147,12.500000149011612
6,00-0026197,Chad Henne,QB,2022,3,-3.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0026197,89,-0.30000000447034836
7,00-0026498,Matthew Stafford,QB,18198,13,9.0,1,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,108.38000000000001,8.0,4,3,1.0,0.0,0.0,0.0,2087.0,10,0,0,00-0026498,421,111.37999814748764
8,00-0026544,Chase Daniel,QB,2022,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0026544,490,0.0
9,00-0026625,Brian Hoyer,QB,2022,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.48,0.0,0,0,0.0,0.0,0.0,0.0,37.0,0,0,0,00-0026625,345,1.4799999669194221
10,00-0027688,Colt McCoy,QB,4044,7,10.0,0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,21.240000000000002,1.0,0,0,1.0,0.0,0.0,0.0,456.0,1,0,0,00-0027688,533,21.23999960720539
11,00-0027942,A.J. Green,WR,18198,0,0.0,0,0.0,0,18,36,121.0,1,389.0,13.0,9.0,-13.159109444771644,38.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0027942,830,29.10000018030405
12,00-0027944,Julio Jones,WR,14154,4,32.0,0,3.0,0,17,31,246.0,2,475.0,98.0,11.0,9.401235065459995,56.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0027944,947,48.30000041425228
13,00-0027966,Mark Ingram,RB,20220,62,233.0,1,12.0,1,16,18,68.0,0,-17.0,78.0,2.0,-8.766475274111144,50.1,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0,0,0,00-0027966,956,40.10000044852495
14,00-0027973,Andy Dalton,QB,20220,24,54.0,0,4.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,141.48,7.0,2,1,1.0,0.0,0.0,0.0,2252.0,15,1,0,00-0027973,829,145.47999806702137
15,00-0027981,Kyle Rudolph,TE,8088,0,0.0,0,0.0,0,2,4,20.0,0,30.0,3.0,1.0,-0.0705906986258924,4.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0027981,943,3.0000000298023224
16,00-0028002,Randall Cobb,WR,18198,0,0.0,0,0.0,0,26,40,349.0,1,422.0,160.0,16.0,17.044027047070657,66.9,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,00-0028002,928,52.900000520050526
17,00-0028118,Tyrod Taylor,QB,2022,3,30.0,0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.44,1.0,0,0,1.0,0.0,0.0,0.0,11.0,0,0,0,00-0028118,827,1.4400000348687172
18,00-0028986,Case Keenum,QB,4044,5,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.32,0.0,0,0,0.0,0.0,0.0,0.0,8.0,0,0,0,00-0028986,1737,0.3199999928474426
19,00-0029000,Cole Beasley,WR,4044,0,0.0,0,0.0,0,4,5,17.0,0,12.0,10.0,1.0,-0.5589322131127119,5.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0029000,,3.700000025331974
20,00-0029239,Brandon Bolden,RB,12132,8,34.0,0,1.0,0,9,9,57.0,1,30.0,27.0,2.0,1.0231501434346804,24.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0029239,1034,19.600000135600567
21,00-0029263,Russell Wilson,QB,22242,37,158.0,1,11.0,0,1,1,1.0,0,-1.0,2.0,0.0,-0.38463787781074643,145.22,5.0,3,1,2.0,0.0,0.0,0.0,2558.0,8,0,0,00-0029263,1234,144.71999794989824
22,00-0029293,Marvin Jones,WR,22242,0,0.0,0,0.0,0,32,57,385.0,2,785.0,64.0,21.0,9.81383766066651,82.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0029293,1067,66.5000005736947
