,points,maximum_possible_points,percent_possible
petenotpetey,1591.06,1712.46,0.9291078331756654
julesdefwatchesftbll,1292.52,1395.0800000000002,0.9264845026808497
carlogesualdo,1479.88,1607.4,0.9206669155157398
mattlatham,1295.7,1413.2,0.9168553637135579
ujthechamp,1424.66,1559.44,0.9135715385010004
lauramarkey,1573.98,1729.1000000000001,0.9102885894395928
emilyhan,1322.66,1463.04,0.9040491032370954
alexludtke,1290.44,1430.06,0.9023677328223991
niclath95,1393.34,1551.7,0.8979441902429592
jakesmyth,1266.72,1420.32,0.8918553565393714
anahan,1453.5,1635.12,0.8889255834434171
llatham65,1492.98,1686.88,0.8850540643080717
andyhan4,1306.02,1508.14,0.8659806118795337
phan497,1264.42,1537.68,0.8222907236876333
