added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Geno Smith,niclath95,1,148.72,[1663032157377],[{'Nico Collins': 'niclath95'}],"[11.68, 13.1, 19.08, 21.8, 18.2, 19.32, 22.98, 22.56]","[6, 7, 8, 9, 10, 12, 13, 14]",[1]
Daniel Jones,llatham65,0,130.72000000000003,"[1666175607889, 1667985974515]","[None, {'Andy Dalton': 'llatham65'}]","[28.78, 8.04, 18.28, 26.64, 13.52, 16.1, 19.36]","[7, 8, 10, 11, 12, 13, 14]","[7, 10]"
Buffalo Bills,ujthechamp,20,123.0,[1668047459078],[None],"[17.0, 19.0, 4.0, 7.0, 13.0, 8.0, 5.0, 6.0, 9.0, 5.0, 9.0, 6.0, 15.0]","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",[10]
Jared Goff,andyhan4,0,119.08000000000001,[1663561160541],[{'Mike Davis': 'andyhan4'}],"[14.88, 34.22, 1.52, 18.14, 12.38, 13.84, 6.5, 17.6]","[3, 4, 7, 8, 9, 10, 11, 12]",[2]
Philadelphia Eagles,jakesmyth,3,115.0,[1663677789004],[{'Cincinnati Bengals': 'jakesmyth'}],"[20.0, 18.0, 4.0, 7.0, 16.0, 8.0, 8.0, 8.0, 6.0, 10.0, 10.0]","[3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",[2]
Jeff Wilson,mattlatham,61,107.99999999999999,"[1663085811968, 1667331413754]","[{'Justice Hill': 'mattlatham'}, {'Justice Hill': 'mattlatham'}]","[11.3, 9.1, 13.4, 19.7, -0.5, 5.4, 14.7, 21.3, 11.7, 0.3, 1.6]","[2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14]","[1, 8]"
Gerald Everett,jakesmyth,0,87.0,[1662599571992],[{'Jerick McKinnon': 'jakesmyth'}],"[12.9, 10.1, 3.5, 14.6, 0.7, 5.4, 8.8, 6.1, 3.3, 5.8, 10.5, 5.3]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14]",[1]
Baltimore Ravens,carlogesualdo,0,86.0,"[1665689791992, 1668372758269]","[{'Jacksonville Jaguars': 'carlogesualdo'}, None]","[13.0, 7.0, 13.0, 7.0, 15.0, 18.0, 7.0, 6.0]","[1, 2, 3, 6, 7, 11, 12, 13]","[6, 10]"
Tyler Bass,petenotpetey,0,77.0,[1666785289748],[{'Ryan Succop': 'petenotpetey'}],"[10.0, 6.0, 13.0, 23.0, 9.0, 7.0, 9.0]","[8, 9, 10, 11, 12, 13, 14]",[8]
DK Metcalf,petenotpetey,26,75.1,[1666921297590],[{'Isaiah McKenzie': 'petenotpetey'}],"[12.2, 10.1, 14.5, 22.7, 15.6]","[9, 10, 12, 13, 14]",[8]
Jimmy Garoppolo,alexludtke,20,73.16,[1666123881958],[None],"[16.32, 15.9, 25.42, 13.28, 2.24]","[7, 10, 11, 12, 13]",[6]
Marcus Mariota,lauramarkey,0,70.27999999999999,[1665003705248],[{'Kenyan Drake': 'lauramarkey'}],"[7.56, 18.74, 17.74, 14.86, 11.38]","[9, 10, 11, 12, 13]",[5]
Green Bay Packers,lauramarkey,0,70.0,[1667519060326],[{'San Francisco 49ers': 'lauramarkey'}],"[1.0, 9.0, 13.0, 8.0, 3.0, 2.0, 9.0, 3.0, 6.0, 5.0, 1.0, 10.0]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",[9]
Kirk Cousins,phan497,0,66.08,[1666873474059],[{'Parris Campbell': 'phan497'}],"[22.48, 17.4, 1.2, 25.0]","[8, 9, 11, 14]",[8]
Ryan Succop,petenotpetey,0,65.0,[1662768097208],[{'Justin Fields': 'petenotpetey'}],"[14.0, 10.0, 8.0, 8.0, 8.0, 14.0, 3.0]","[1, 2, 3, 4, 5, 6, 7]",[1]
D'Onta Foreman,carlogesualdo,0,64.3,[1666325610602],[{'Caleb Huntley': 'carlogesualdo'}],"[31.8, 3.1, 19.0, 2.4, 8.0]","[8, 9, 10, 11, 14]",[7]
Justin Fields,anahan,0,62.0,[1663641630211],[{'DeAndre Carter': 'anahan'}],"[39.38, 22.62]","[10, 11]",[2]
Wil Lutz,julesdefwatchesftbll,0,61.0,[1665778156064],[{'Brandon McManus': 'julesdefwatchesftbll'}],"[14.0, 11.0, 5.0, 7.0, 5.0, 10.0, -1.0, 10.0]","[6, 7, 8, 9, 10, 11, 12, 13]",[6]
San Francisco 49ers,mattlatham,0,60.0,[1668523206080],[{'Miami Dolphins': 'mattlatham'}],"[12.0, 17.0, 19.0, 12.0]","[11, 12, 13, 14]",[10]
Los Angeles Rams,anahan,0,57.0,[1666744310134],[None],"[11.0, 10.0, 6.0, 2.0, 6.0, 11.0, 4.0, 3.0, 4.0]","[1, 2, 3, 4, 5, 6, 9, 10, 11]",[7]
Jerick McKinnon,alexludtke,5,54.8,[1667927787679],[{'Will Dissly': 'alexludtke'}],"[8.8, 4.1, 13.0, 28.9]","[10, 12, 13, 14]",[9]
Donovan Peoples-Jones,llatham65,0,52.1,[1666176388728],[{'DJ Chark': 'llatham65'}],"[7.1, 12.4, 14.6, 2.6, 15.4]","[7, 10, 11, 12, 14]",[7]
Isiah Pacheco,llatham65,0,51.8,[1668597218793],[{'Kyren Williams': 'llatham65'}],"[10.7, 15.1, 15.2, 10.8]","[11, 12, 13, 14]",[11]
Carson Wentz,andyhan4,0,51.8,[1663060435474],[{'Dak Prescott': 'andyhan4'}],"[27.78, 19.86, 4.16]","[2, 5, 6]",[1]
Devin Duvernay,julesdefwatchesftbll,5,50.4,[1663560914777],[{'Mecole Hardman': 'julesdefwatchesftbll'}],"[9.3, 7.1, 10.3, 1.9, 5.2, 14.4, 1.0, 1.2, 0.0]","[3, 4, 5, 6, 7, 8, 9, 11, 14]",[2]
Michael Badgley,andyhan4,0,50.0,"[1665030777141, 1668358397915]","[{'Matt Prater': 'andyhan4'}, {'Matt Prater': 'andyhan4'}]","[0.0, 7.0, 7.0, 6.0, 19.0, 11.0]","[5, 10, 11, 12, 13, 14]","[5, 10]"
