,co_owners,league_id,metadata,owner_id,players,player_map,reserve,roster_id,settings,starters,taxi
0,,863912024172847104,"{'streak': '1W', 'record': 'LLLWLWWWWLWWLW'}",340485204214874112,"['1387', '4037', '4111', '4663', '4950', '5022', '5872', '5985', '6797', '6945', '7045', '7210', '7523', '7757', '8259', 'GB']",,"['5022', '5872']",1,"RosterSettings(fpts=1479, fpts_against=1348, fpts_against_decimal=90, fpts_decimal=88, losses=6, ppts=1607, ppts_decimal=40, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=100, waiver_position=14, wins=8)","['6797', '4111', '4663', '4037', '4950', '5985', '6945', '8259', 'GB']",
1,,863912024172847104,"{'streak': '2W', 'record': 'WWWWWLWWWWWLWW', 'allow_pn_scoring': 'on'}",605175435638145024,"['1476', '2449', '4080', '4197', '4866', '5846', '5890', '5917', '5937', '5947', '6904', '7042', '7543', '7600', '7608', 'DAL']",,"['5917', '7608']",2,"RosterSettings(fpts=1591, fpts_against=1287, fpts_against_decimal=40, fpts_decimal=6, losses=2, ppts=1712, ppts_decimal=46, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=80, waiver_position=13, wins=12)","['6904', '7543', '1476', '2449', '5846', '7600', '4866', '7042', 'DAL']",
2,,863912024172847104,"{'streak': '5L', 'record': 'LLWLLWLWWLLLLL'}",605176209256583168,"['1166', '3271', '4040', '4958', '4983', '5012', '6130', '6790', '6806', '7090', '7525', '8122', '8129', 'NE', 'PIT']",,['7090'],3,"RosterSettings(fpts=1264, fpts_against=1414, fpts_against_decimal=82, fpts_decimal=42, losses=10, ppts=1537, ppts_decimal=68, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=100, waiver_position=6, wins=4)","['1166', '6790', '8122', '7525', '4040', '5012', '6130', '4958', 'PIT']",
3,,863912024172847104,"{'streak': '1L', 'record': 'LWLLLLLLLWLLWL'}",605180610515898368,"['2133', '3163', '3225', '4017', '4066', '4068', '4149', '4199', '5230', '6828', '7553', '7606', '8112', 'DEN']",,,4,"RosterSettings(fpts=1306, fpts_against=1340, fpts_against_decimal=74, fpts_decimal=2, losses=11, ppts=1508, ppts_decimal=14, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=15, waiver_position=3, wins=3)","['4017', '4199', '4149', '2133', '3225', '4066', '8112', '5230', 'DEN']",
4,,863912024172847104,"{'streak': '1W', 'record': 'WWWLWLLWWWLWLW', 'allow_pn_scoring': 'on'}",605249638039109632,"['1264', '24', '3164', '3198', '3214', '4046', '5086', '5880', '5906', '6083', '6984', '7526', '8154', 'BUF']",,,5,"RosterSettings(fpts=1424, fpts_against=1347, fpts_against_decimal=16, fpts_decimal=66, losses=5, ppts=1559, ppts_decimal=44, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=20, waiver_position=2, wins=9)","['4046', '3198', '3164', '7526', '5086', '5906', '6984', '1264', 'BUF']",
5,,863912024172847104,"{'streak': '3L', 'record': 'LWWLLLLLLLWLLL'}",605445447401689088,"['1339', '1535', '2216', '3199', '4036', '4381', '4881', '5119', '5536', '5892', '6847', '7083', '7528', '8144', '8210', 'KC']",,"['1339', '3199']",6,"RosterSettings(fpts=1292, fpts_against=1566, fpts_against_decimal=80, fpts_decimal=52, losses=11, ppts=1395, ppts_decimal=8, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=35, waiver_position=1, wins=3)","['7083', '5536', '7528', '2216', '4036', '8210', '6847', '5119', 'KC']",
6,,863912024172847104,"{'streak': '2L', 'record': 'WLLWLWLWLLWWLL'}",605263942515773440,"['1234', '1466', '1992', '2028', '2747', '4035', '4951', '5045', '5848', '6151', '6819', '7596', '7610', '8111', '8136', 'TEN']",,"['1992', '7610']",7,"RosterSettings(fpts=1322, fpts_against=1450, fpts_against_decimal=0, fpts_decimal=66, losses=8, ppts=1463, ppts_decimal=4, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=12, waiver_position=10, wins=6)","['2028', '4035', '6151', '6819', '4951', '1466', '8136', '2747', 'TEN']",
7,,863912024172847104,"{'streak': '1W', 'record': 'WWLWWLWLLWLWLW'}",869626839986032640,"['1352', '1433', '2320', '4082', '4089', '4137', '4177', '5185', '5347', '6768', '6794', '6886', '6938', '7588', 'PHI']",,['7588'],8,"RosterSettings(fpts=1266, fpts_against=1324, fpts_against_decimal=12, fpts_decimal=72, losses=6, ppts=1420, ppts_decimal=32, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=100, waiver_position=5, wins=8)","['6768', '4137', '6938', '6794', '1352', '4089', '4177', '1433', 'PHI']",
8,,863912024172847104,"{'streak': '4W', 'record': 'LLLLLWLWLLWWWW'}",605279643485933568,"['1373', '1426', '2359', '2749', '3294', '4034', '4217', '4227', '5859', '6783', '6820', 'SEA', 'WAS']",,['6820'],9,"RosterSettings(fpts=1393, fpts_against=1416, fpts_against_decimal=4, fpts_decimal=34, losses=8, ppts=1551, ppts_decimal=70, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=12, waiver_position=4, wins=6)","['1373', '4034', '2359', '6783', '5859', '4217', '1426', '4227', 'SEA']",
9,,863912024172847104,"{'streak': '1W', 'record': 'WLWWLLWLWWLLLW'}",737782444484370432,"['1049', '1837', '2161', '421', '503', '5089', '5844', '5927', '6786', '6943', '7564', '7607', '7839', '8132', '8146', 'MIN']",,"['1837', '421']",10,"RosterSettings(fpts=1290, fpts_against=1380, fpts_against_decimal=50, fpts_decimal=44, losses=7, ppts=1430, ppts_decimal=6, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=77, waiver_position=7, wins=7)","['1049', '7607', '2161', '7564', '6786', '5844', '8146', '7839', 'MIN']",
10,,863912024172847104,"{'streak': '6W', 'record': 'LLWWWWWLWWWWWW'}",605266609971470336,"['167', '2307', '2309', '3321', '4018', '5001', '5850', '6126', '650', '6650', '6803', '7611', '8150', '8228', 'BAL']",,['6126'],11,"RosterSettings(fpts=1573, fpts_against=1403, fpts_against_decimal=40, fpts_decimal=98, losses=3, ppts=1729, ppts_decimal=10, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=35, waiver_position=11, wins=11)","['167', '5850', '7611', '3321', '2309', '5001', '4018', '650', 'BAL']",
11,,863912024172847104,"{'streak': '1L', 'record': 'LLWLWWWWLWLLWL'}",618292946139164672,"['2319', '2374', '2505', '3969', '4029', '4033', '4098', '49', '4993', '5967', '6770', '6801', '7591', '8142', 'CIN']",,['2505'],12,"RosterSettings(fpts=1453, fpts_against=1513, fpts_against_decimal=94, fpts_decimal=50, losses=7, ppts=1635, ppts_decimal=12, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=4, waiver_position=8, wins=7)","['6770', '5967', '4029', '2374', '6801', '4033', '3969', '49', 'CIN']",
12,,863912024172847104,"{'streak': '1L', 'record': 'WWLWWWWLWLLLWL', 'allow_pn_scoring': 'on'}",605254631701970944,"['1689', '4039', '4988', '5095', '5248', '5857', '5870', '6149', '6824', '6826', '7594', '7670', '8151', '8205', 'CLE']",,['4039'],13,"RosterSettings(fpts=1492, fpts_against=1344, fpts_against_decimal=54, fpts_decimal=98, losses=6, ppts=1686, ppts_decimal=88, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=73, waiver_position=12, wins=8)","['5870', '4988', '8205', '1689', '7670', '5857', '6824', '5095', 'CLE']",
13,,863912024172847104,"{'streak': '1L', 'record': 'WWLLWLLLLLWWWL'}",455204806886158336,"['1479', '3242', '4195', '4984', '5038', '5209', '5284', '6813', '7547', '7561', '7571', '8130', '8137', '8167', '8172', 'SF']",,"['7561', '7571']",14,"RosterSettings(fpts=1295, fpts_against=1309, fpts_against_decimal=52, fpts_decimal=70, losses=8, ppts=1413, ppts_decimal=20, ties=0, total_moves=0, waiver_adjusted=None, waiver_budget_used=100, waiver_position=9, wins=6)","['4984', '5284', '5209', '7547', '1479', '8172', '5038', '4195', 'SF']",
