Date,BTC-USD,BTC-MORE,Value,cade_portfolio
9/12/2022,"22,370.45",0.00000084,884.7811504,-1
9/19/2022,"19,544.13",0.00000073,671.7707007,-1
9/26/2022,"19,222.67",0.00000082,742.1802924,1
10/3/2022,"19,623.58",0.00000079,729.9400396,-1
10/10/2022,"19,141.48",0.000001,901.2750928,1
10/17/2022,"19,550.76",0.00000117,1077.038831,1
10/24/2022,"19,345.57",0.00000116,1056.626199,-1
10/31/2022,"20,495.77",0.00000058,559.7242044,-1
11/7/2022,"20,602.82",0.00000058,562.6476602,1
11/14/2022,"16,618.20",0.00000071,555.5513221,-1
11/21/2022,"15,787.28",0.00000065,483.1728508,-1
11/28/2022,"16,217.32",0.00000072,549.785698,1
12/5/2022,"16,974.83",0.00000068,543.4958116,-1
12/12/2022,"17,010.69",0.0000006,480.5682071,-1
