,custom_points,matchup_id,players,players_points,points,roster_id,starters,starters_points,week
0,,2,"['BAL', '8138', '7606', '7066', '6083', '5872', '5849', '5022', '4951', '4950', '4663', '4137', '3664', '2197']","{'BAL': 13.0, '8138': -2.8, '7606': 2.3, '7066': 2.9, '6083': 6.0, '5872': 10.6, '5849': 20.62, '5022': 7.5, '4951': 13.2, '4950': 14.7, '4663': 9.2, '4137': 13.0, '3664': 6.3, '2197': 11.7}",106.32,1,"['5849', '4663', '4137', '5872', '2197', '5022', '4950', '6083', 'BAL']","[20.62, 9.2, 13.0, 10.6, 11.7, 7.5, 14.7, 6.0, 13.0]",1
1,,7,"['DAL', '8126', '8119', '7600', '7543', '6904', '5955', '5937', '5890', '5347', '4866', '4602', '391', '2449']","{'DAL': 5.0, '8126': 1.0, '8119': 16.5, '7600': 10.0, '7543': 6.5, '6904': 24.72, '5955': 2.6, '5937': 8.0, '5890': 6.8, '5347': 7.4, '4866': 29.4, '4602': 5.1, '391': 14.0, '2449': 22.2}",122.42,2,"['6904', '4866', '7543', '2449', '5937', '7600', '5955', '391', 'DAL']","[24.72, 29.4, 6.5, 22.2, 8.0, 10.0, 2.6, 14.0, 5.0]",1
2,,6,"['NE', '8153', '8129', '8121', '7525', '7523', '6806', '6790', '6130', '5012', '4983', '4040', '3678', '2306']","{'NE': 6.0, '8153': 0.0, '8129': 4.4, '8121': 6.8, '7525': 0.0, '7523': 14.4, '6806': 0.0, '6790': 25.0, '6130': 7.2, '5012': 7.7, '4983': 6.5, '4040': 6.9, '3678': 9.0, '2306': 21.66}",79.9,3,"['7523', '6790', '8129', '4983', '7525', '5012', '4040', '3678', 'NE']","[14.4, 25.0, 4.4, 6.5, 0.0, 7.7, 6.9, 9.0, 6.0]",1
3,,5,"['TB', '8112', '7553', '7090', '6828', '5110', '4199', '4149', '4068', '3294', '3225', '2431', '2133', '17']","{'TB': 13.0, '8112': 9.9, '7553': 2.9, '7090': 1.3, '6828': 17.6, '5110': 2.3, '4199': 9.1, '4149': 15.5, '4068': 2.0, '3294': 5.46, '3225': 11.3, '2431': 0.1, '2133': 25.1, '17': 1.0}",86.06,4,"['3294', '4199', '6828', '2133', '4068', '7553', '8112', '17', 'TB']","[5.46, 9.1, 17.6, 25.1, 2.0, 2.9, 9.9, 1.0, 13.0]",1
4,,5,"['BUF', '8205', '8154', '8139', '7526', '5906', '5846', '5086', '4046', '3214', '3198', '3164', '24', '1264']","{'BUF': 17.0, '8205': 11.2, '8154': 0.0, '8139': 0.0, '7526': 15.7, '5906': 1.0, '5846': 4.1, '5086': 6.1, '4046': 33.9, '3214': 3.0, '3198': 7.2, '3164': 5.4, '24': 12.28, '1264': 6.0}",96.4,5,"['4046', '3198', '3164', '7526', '5846', '5906', '5086', '1264', 'BUF']","[33.9, 7.2, 5.4, 15.7, 4.1, 1.0, 6.1, 6.0, 17.0]",1
5,,1,"['DEN', '8144', '7528', '5917', '5892', '4881', '3202', '3199', '2216', '1825', '1535', '1433', '1339', '1166']","{'DEN': 8.0, '8144': 7.6, '7528': 9.6, '5917': 9.1, '5892': 6.5, '4881': 21.22, '3202': 1.1, '3199': 20.2, '2216': 15.6, '1825': 14.9, '1535': 21.1, '1433': 10.0, '1339': 10.4, '1166': 19.08}",122.62,6,"['4881', '7528', '5892', '2216', '3199', '1339', '1535', '1433', 'DEN']","[21.22, 9.6, 6.5, 15.6, 20.2, 10.4, 21.1, 10.0, 8.0]",1
6,,3,"['NO', '8168', '8167', '8136', '7610', '7596', '6819', '6151', '5848', '5045', '4666', '4035', '2028', '1466']","{'NO': 8.0, '8168': 3.5, '8167': 5.1, '8136': 3.1, '7610': 9.96, '7596': 7.4, '6819': 22.6, '6151': 17.5, '5848': 12.3, '5045': 9.2, '4666': 18.0, '4035': 6.1, '2028': 14.8, '1466': 22.1}",125.76,7,"['7610', '4035', '6151', '6819', '5045', '1466', '5848', '4666', 'NO']","[9.96, 6.1, 17.5, 22.6, 9.2, 22.1, 12.3, 18.0, 8.0]",1
7,,1,"['CIN', '947', '7588', '7062', '6797', '6794', '6783', '6768', '5916', '5185', '5000', '4089', '4037', '2320']","{'CIN': 3.0, '947': 10.1, '7588': 13.3, '7062': 8.0, '6797': 23.26, '6794': 34.9, '6783': 18.2, '6768': 13.8, '5916': 9.8, '5185': 0.0, '5000': 8.5, '4089': 12.9, '4037': 5.0, '2320': 5.2}",132.16,8,"['6797', '7588', '5000', '6794', '6783', '4089', '947', '7062', 'CIN']","[23.26, 13.3, 8.5, 34.9, 18.2, 12.9, 10.1, 8.0, 3.0]",1
8,,3,"['LAC', '96', '7569', '6955', '6886', '6820', '6126', '5859', '4227', '4217', '4034', '2749', '1992', '1426']","{'LAC': 16.0, '96': 3.7, '7569': 3.6, '6955': 19.4, '6886': 7.4, '6820': 20.9, '6126': 0.0, '5859': 20.5, '4227': 9.0, '4217': 0.0, '4034': 13.7, '2749': 3.7, '1992': 1.7, '1426': 0.0}",92.9,9,"['96', '4034', '6820', '5859', '1992', '6126', '6886', '4227', 'LAC']","[3.7, 13.7, 20.9, 20.5, 1.7, 0.0, 7.4, 9.0, 16.0]",1
9,,6,"['CLE', '8155', '8146', '8132', '7839', '7564', '6943', '6843', '6786', '5927', '5844', '4985', '421', '4017']","{'CLE': 7.0, '8155': 6.1, '8146': 7.2, '8132': 0.0, '7839': 6.0, '7564': 23.9, '6943': 16.8, '6843': 5.8, '6786': 3.9, '5927': 12.8, '5844': 5.8, '4985': 6.7, '421': 9.8, '4017': 0.0}",82.0,10,"['421', '8155', '4985', '7564', '6786', '5844', '5927', '7839', 'CLE']","[9.8, 6.1, 6.7, 23.9, 3.9, 5.8, 12.8, 6.0, 7.0]",1
