,active,age,birth_city,birth_country,birth_date,birth_state,college,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,last_name,metadata,news_updated,number,pandascore_id,player_id,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,search_rank,sport,sportradar_id,stats_id,status,swish_id,team,weight,yahoo_id,years_exp
0,False,27.0,,,1991-04-22,,Temple,,,17054.0,16426.0,[<NFLPosition.OL: 'OL'>],Cody,,#codybooth-NFL-FA-60,"6'5""",,,,,InjuryStatus.NA,Booth,,,60.0,,2103,NFLPosition.OT,,PracticeParticipation.NA,9866.0,,cody,codybooth,booth,9999999.0,Sport.NFL,4cd4976e-e230-4935-ad3f-c12876a41350,,NFLPlayerStatus.INACTIVE,,NFLTeam.NA,285,27841.0,1.0
1,False,,,,,,North Carolina State,,,3916426.0,21183.0,[<NFLPosition.DL: 'DL'>],Eurndraus,,#eurndrausbryant-NFL-FA-0,73,Fort Dorchester,,,,InjuryStatus.NA,Bryant,,,0.0,,6250,NFLPosition.DT,,PracticeParticipation.NA,,,eurndraus,eurndrausbryant,bryant,9999999.0,Sport.NFL,9ff46edb-988f-4c8a-ad56-0502808ca1a6,,NFLPlayerStatus.INACTIVE,,NFLTeam.NA,330,32538.0,0.0
2,False,28.0,,,1993-12-10,,Troy,,,2972820.0,18962.0,[<NFLPosition.OL: 'OL'>],Antonio,00-0033922,#antoniogarcia-NFL-FA-0,79,Charles Drew (GA),,,,InjuryStatus.NA,Garcia,,1560221750273.0,0.0,,4116,NFLPosition.OT,,PracticeParticipation.NA,11794.0,12247.0,antonio,antoniogarcia,garcia,9999999.0,Sport.NFL,a2b6e1f9-1f06-45e3-b6e9-79ec8490e5ef,,NFLPlayerStatus.INACTIVE,,NFLTeam.NA,302,30198.0,5.0
3,True,22.0,,,2000-07-19,,UTSA,1.0,RG,,,[<NFLPosition.OL: 'OL'>],Spencer,,#spencerburford-NFL-SF-74,76,Wagner (TX),,,,InjuryStatus.NA,Burford,,1670646038507.0,74.0,,8465,NFLPosition.OL,,PracticeParticipation.NA,16062.0,,spencer,spencerburford,burford,9999999.0,Sport.NFL,129815b7-f914-4155-b8e3-e93021670dd7,,NFLPlayerStatus.ACTIVE,1123542.0,NFLTeam.SF,300,,0.0
4,True,26.0,,,1996-08-09,,Western Illinois,2.0,LDT,3121634.0,20934.0,[<NFLPosition.DL: 'DL'>],Khalen, 00-0035656,#khalensaunders-NFL-KC-99,72,Parkway Central (MO),,,,InjuryStatus.NA,Saunders,,1667963135657.0,99.0,,6177,NFLPosition.DT,,PracticeParticipation.NA,13746.0,,khalen,khalensaunders,saunders,9999999.0,Sport.NFL,757c55e1-2f3a-41d2-a211-16bf577a1586,,NFLPlayerStatus.ACTIVE,831799.0,NFLTeam.KC,324,31916.0,3.0
5,True,25.0,,,1997-05-27,,Duke,1.0,QB,3917792.0,20841.0,[<NFLPosition.QB: 'QB'>],Daniel, 00-0035710,#danieljones-NFL-NYG-8,77,Charlotte Latin (NC),,,,InjuryStatus.NA,Jones,,1670817662444.0,8.0,,5870,NFLPosition.QB,,PracticeParticipation.NA,13491.0,13963.0,daniel,danieljones,jones,211.0,Sport.NFL,0042266b-cb28-4012-bfd2-06650badad97,879981.0,NFLPlayerStatus.ACTIVE,879981.0,NFLTeam.NYG,230,31838.0,3.0
6,True,27.0,,,1994-04-29,,Iowa State,,,3892776.0,19145.0,[<NFLPosition.LB: 'LB'>],Jarnor,,#jarnorjones-NFL-FA-0,75,Martin Luther King (GA),,,,InjuryStatus.NA,Jones,,,0.0,,4297,NFLPosition.ILB,,PracticeParticipation.NA,,,jarnor,jarnorjones,jones,9999999.0,Sport.NFL,508a854c-2fc5-47e1-9376-0151f45963c1,,NFLPlayerStatus.ACTIVE,,NFLTeam.NA,210,30454.0,5.0
7,False,30.0,,,1990-06-30,,Arkansas,,,15940.0,14866.0,[<NFLPosition.TE: 'TE'>],Chris,,#chrisgragg-NFL-FA-87,"6'3""",Warren (AR),,,,InjuryStatus.NA,Gragg,,,87.0,,1347,NFLPosition.TE,,PracticeParticipation.NA,8788.0,,chris,chrisgragg,gragg,9999999.0,Sport.NFL,36521d92-2c2c-4ae4-9b60-9928c3167e30,465638.0,NFLPlayerStatus.INACTIVE,,NFLTeam.NA,244,26845.0,7.0
8,True,26.0,,,1995-02-14,,Florida,,,3054971.0,19995.0,[<NFLPosition.P: 'P'>],Johnny,00-0034684,#johnnytownsend-NFL-FA-0,73,Boone (FL),,,,InjuryStatus.NA,Townsend,,1565823938203.0,0.0,,5381,NFLPosition.P,,PracticeParticipation.NA,12777.0,,johnny,johnnytownsend,townsend,9999999.0,Sport.NFL,2eb0706c-3017-4895-a207-71d6fe9e1549,748627.0,NFLPlayerStatus.ACTIVE,748627.0,NFLTeam.NA,194,31143.0,4.0
9,True,32.0,,,1989-07-24,,Florida,,,13974.0,13698.0,[<NFLPosition.OL: 'OL'>],Mike,00-0027953,#mikepouncey-NFL-FA-0,77,Lakeland (FL),,,,InjuryStatus.NA,Pouncey,,1613154322971.0,0.0,,1023,NFLPosition.C,,PracticeParticipation.NA,7548.0,6478.0,mike,mikepouncey,pouncey,9999999.0,Sport.NFL,041c36ad-0d7d-4ed1-8157-95092b3027a4,,NFLPlayerStatus.INJURED_RESERVE,,NFLTeam.NA,298,24802.0,11.0
10,True,28.0,,,1994-11-15,,UCLA,,,3134310.0,19926.0,[<NFLPosition.LB: 'LB'>],Kenny,00-0034266,#kennyyoung-NFL-NO-40,73,John Curtis Christian (LA),,,,InjuryStatus.NA,Young,,1663772109413.0,40.0,,5300,NFLPosition.LB,,PracticeParticipation.NA,12689.0,,kenny,kennyyoung,young,9999999.0,Sport.NFL,13a9ad48-6886-4390-b2d8-9c79cda111d1,,NFLPlayerStatus.ACTIVE,840802.0,NFLTeam.NO,234,31092.0,4.0
11,True,24.0,,,1997-04-12,,Notre Dame,,,3932422.0,22320.0,[<NFLPosition.LB: 'LB'>],Asmar,,#asmarbilal-NFL-FA-0,74,Ben Davis (IN),,,,InjuryStatus.NA,Bilal,,1637720145101.0,0.0,,7328,NFLPosition.LB,,PracticeParticipation.NA,15017.0,,asmar,asmarbilal,bilal,9999999.0,Sport.NFL,621e177a-e23d-489e-a747-369eb662f0de,,NFLPlayerStatus.ACTIVE,884552.0,NFLTeam.NA,230,32974.0,2.0
12,True,34.0,,,1988-06-08,,Kentucky,2.0,NT,13292.0,11437.0,[<NFLPosition.DL: 'DL'>],Corey,00-0027686,#coreypeters-NFL-JAX-98,75,Central (KY),,,,InjuryStatus.NA,Peters,,1665587138247.0,98.0,,608,NFLPosition.DT,,PracticeParticipation.NA,6682.0,5886.0,corey,coreypeters,peters,9999999.0,Sport.NFL,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,,NFLPlayerStatus.ACTIVE,333992.0,NFLTeam.JAX,335,24058.0,12.0
13,True,28.0,,,1993-07-28,,Houston,,,2573308.0,18754.0,[<NFLPosition.DB: 'DB'>],Lee,,#leehightower-NFL-FA-0,74,Loyola (CA),,,,InjuryStatus.NA,Hightower,,,0.0,,3925,NFLPosition.FS,,PracticeParticipation.NA,11626.0,,lee,leehightower,hightower,9999999.0,Sport.NFL,2ac6848d-1482-4a1b-b4ee-886ccaef270d,,NFLPlayerStatus.ACTIVE,,NFLTeam.NA,200,30053.0,6.0
14,False,29.0,,,1992-10-16,,Clemson,,,2576498.0,18157.0,[<NFLPosition.WR: 'WR'>],Charone,00-0032959,#charonepeake-NFL-FA-17,74,Dorman (SC),,,,InjuryStatus.NA,Peake,,1588021862005.0,17.0,,3396,NFLPosition.WR,,PracticeParticipation.NA,11001.0,11410.0,charone,charonepeake,peake,1042.0,Sport.NFL,58ea6518-6fb7-4e5a-a586-7202d4c5f07e,602104.0,NFLPlayerStatus.INACTIVE,,NFLTeam.NA,209,29475.0,6.0
15,False,,,,,,None,,,2574518.0,18789.0,,Kelvin,,#kelvinfisherjr-NFL-FA-8,"5'11""",,,,,InjuryStatus.NA,Fisher Jr,,,8.0,,3956,NFLPosition.NA,,PracticeParticipation.NA,,,kelvin,kelvinfisherjr,fisherjr,9999999.0,Sport.NFL,,,NFLPlayerStatus.INACTIVE,,NFLTeam.NA,200,,0.0
16,True,26.0,,,1995-11-05,,Arizona State,,,3128814.0,21260.0,[<NFLPosition.QB: 'QB'>],Manny, 00-0035077,#mannywilkins-NFL-FA-18,74,San Marin,,,,InjuryStatus.NA,Wilkins,,1588023962396.0,18.0,,6343,NFLPosition.QB,,PracticeParticipation.NA,13968.0,,manny,mannywilkins,wilkins,9999999.0,Sport.NFL,941662f4-da41-48cf-a663-cfbd011491bb,820627.0,NFLPlayerStatus.ACTIVE,,NFLTeam.NA,193,32282.0,3.0
