,adds,consenter_ids,created,creator,draft_picks,drops,roster_ids,settings,status,status_updated,transaction_id,type,waiver_budget,leg,metadata
0,{'8228': 14},[14],1663125871266,455204806886158336,[],{'8142': 14},[14],"TransactionSettings(seq=1, waiver_bid=25)",TransactionStatus.COMPLETE,1663139073941,875617004143456256,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
1,{'3423': 14},[14],1663125810752,455204806886158336,[],{'5995': 14},[14],"TransactionSettings(seq=12, waiver_bid=0)",TransactionStatus.FAILED,1663139073941,875616750329446400,TransactionType.WAIVER,[],1,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}"
2,{'6824': 8},[8],1663123966744,869626839986032640,[],,[8],"TransactionSettings(seq=7, waiver_bid=2)",TransactionStatus.COMPLETE,1663139073941,875609015999213568,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
3,{'49': 8},[8],1663116190454,869626839986032640,[],{'7062': 8},[8],"TransactionSettings(seq=14, waiver_bid=0)",TransactionStatus.COMPLETE,1663139073941,875576399874895872,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
4,{'1387': 1},[1],1663114266597,340485204214874112,[],{'8138': 1},[1],"TransactionSettings(seq=6, waiver_bid=4)",TransactionStatus.COMPLETE,1663139073941,875568330633867264,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
5,{'5284': 1},[1],1663114252848,340485204214874112,[],{'8138': 1},[1],"TransactionSettings(seq=3, waiver_bid=14)",TransactionStatus.FAILED,1663139073941,875568272966397952,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'}
6,{'2750': 12},[12],1663105631464,618292946139164672,[],{'4197': 12},[12],"TransactionSettings(seq=11, waiver_bid=0)",TransactionStatus.COMPLETE,1663139073941,875532112261001216,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
7,{'PIT': 6},[6],1663090822043,605445447401689088,[],{'DEN': 6},[6],"TransactionSettings(seq=10, waiver_bid=0)",TransactionStatus.COMPLETE,1663139073941,875469997047369728,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
8,{'5284': 14},[14],1663085811968,455204806886158336,[],{'5995': 14},[14],"TransactionSettings(seq=0, waiver_bid=50)",TransactionStatus.COMPLETE,1663139073941,875448983269687296,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
9,{'4381': 3},[3],1663068417317,605176209256583168,[],,[3],"TransactionSettings(seq=5, waiver_bid=6)",TransactionStatus.COMPLETE,1663139073941,875376024815382528,TransactionType.WAIVER,[],1,{'notes': 'Your waiver claim was processed successfully!'}
